"Date","Price","Open","High","Low","Change %"
"Sep 02, 2020","3.7190","3.6844","3.7390","3.6780","0.97%"
"Sep 01, 2020","3.6831","3.6841","3.6904","3.6558","0.04%"
"Aug 31, 2020","3.6815","3.6860","3.6999","3.6649","-0.06%"
"Aug 28, 2020","3.6837","3.7315","3.7374","3.6810","-1.18%"
"Aug 27, 2020","3.7276","3.7317","3.7533","3.6988","-0.06%"
"Aug 26, 2020","3.7300","3.7189","3.7471","3.7116","0.34%"
"Aug 25, 2020","3.7172","3.7292","3.7330","3.7058","-0.26%"
"Aug 24, 2020","3.7270","3.7455","3.7473","3.7076","-0.35%"
"Aug 21, 2020","3.7402","3.6964","3.7513","3.6850","1.26%"
"Aug 20, 2020","3.6936","3.7169","3.7266","3.6930","-0.57%"
"Aug 19, 2020","3.7147","3.6688","3.7199","3.6613","1.31%"
"Aug 18, 2020","3.6668","3.7053","3.7082","3.6609","-1.00%"
"Aug 17, 2020","3.7039","3.7123","3.7192","3.6971","-0.15%"
"Aug 14, 2020","3.7094","3.7232","3.7336","3.7097","-0.28%"
"Aug 13, 2020","3.7200","3.7371","3.7396","3.7065","-0.32%"
"Aug 12, 2020","3.7320","3.7541","3.7649","3.7243","-0.50%"
"Aug 11, 2020","3.7509","3.7476","3.7615","3.7264","0.17%"
"Aug 10, 2020","3.7445","3.7445","3.7543","3.7310","0.01%"
"Aug 07, 2020","3.7440","3.7185","3.7528","3.7109","0.65%"
"Aug 06, 2020","3.7197","3.7139","3.7310","3.6890","0.19%"
"Aug 05, 2020","3.7127","3.7241","3.7301","3.6943","-0.31%"
"Aug 04, 2020","3.7241","3.7513","3.7604","3.7223","-0.72%"
"Aug 03, 2020","3.7512","3.7499","3.7805","3.7406","0.09%"
"Jul 31, 2020","3.7478","3.7224","3.7554","3.6983","0.65%"
"Jul 30, 2020","3.7236","3.7417","3.7629","3.7185","-0.34%"
"Jul 29, 2020","3.7362","3.7661","3.7784","3.7333","-0.80%"
"Jul 28, 2020","3.7661","3.7353","3.7705","3.7280","0.81%"
"Jul 27, 2020","3.7360","3.7780","3.7875","3.7266","-1.17%"
"Jul 24, 2020","3.7803","3.8026","3.8096","3.7755","-0.59%"
"Jul 23, 2020","3.8026","3.8219","3.8284","3.7856","-0.50%"
"Jul 22, 2020","3.8219","3.8465","3.8614","3.8096","-0.67%"
"Jul 21, 2020","3.8475","3.8923","3.9000","3.8407","-1.15%"
"Jul 20, 2020","3.8925","3.9176","3.9276","3.8895","-0.63%"
"Jul 17, 2020","3.9172","3.9395","3.9445","3.9122","-0.56%"
"Jul 16, 2020","3.9391","3.9231","3.9469","3.9121","0.39%"
"Jul 15, 2020","3.9238","3.9250","3.9309","3.9019","-0.05%"
"Jul 14, 2020","3.9259","3.9592","3.9681","3.9199","-0.87%"
"Jul 13, 2020","3.9605","3.9525","3.9627","3.9361","0.22%"
"Jul 10, 2020","3.9518","3.9616","3.9797","3.9419","-0.25%"
"Jul 09, 2020","3.9616","3.9502","3.9646","3.9309","0.30%"
"Jul 08, 2020","3.9499","3.9709","3.9764","3.9458","-0.52%"
"Jul 07, 2020","3.9705","3.9471","3.9737","3.9365","0.57%"
"Jul 06, 2020","3.9481","3.9681","3.9734","3.9369","-0.50%"
"Jul 03, 2020","3.9680","3.9701","3.9852","3.9606","-0.06%"
"Jul 02, 2020","3.9703","3.9771","3.9826","3.9481","-0.16%"
"Jul 01, 2020","3.9767","3.9565","3.9899","3.9471","0.51%"
"Jun 30, 2020","3.9567","3.9643","3.9904","3.9448","-0.18%"
"Jun 29, 2020","3.9639","3.9843","3.9872","3.9555","-0.46%"
"Jun 26, 2020","3.9822","3.9706","3.9922","3.9639","0.29%"
"Jun 25, 2020","3.9706","3.9610","3.9948","3.9548","0.24%"
"Jun 24, 2020","3.9609","3.9332","3.9648","3.9228","0.71%"
"Jun 23, 2020","3.9328","3.9459","3.9599","3.9132","-0.32%"
"Jun 22, 2020","3.9455","3.9938","4.0034","3.9389","-1.16%"
"Jun 19, 2020","3.9920","3.9712","4.0015","3.9541","0.53%"
"Jun 18, 2020","3.9711","3.9708","3.9845","3.9514","0.01%"
