"Date","Price","Open","High","Low","Change %"
"Jul 22, 2014","6.2030","6.2087","6.2087","6.2030","-0.10%"
"Jul 21, 2014","6.2093","6.2084","6.2097","6.2044","0.02%"
"Jul 18, 2014","6.2080","6.2045","6.2100","6.2010","0.07%"
"Jul 17, 2014","6.2038","6.2050","6.2053","6.2002","-0.00%"
"Jul 16, 2014","6.2040","6.2074","6.2114","6.2030","-0.06%"
"Jul 15, 2014","6.2080","6.2064","6.2119","6.2058","0.03%"
"Jul 14, 2014","6.2060","6.2027","6.2081","6.2018","0.04%"
"Jul 11, 2014","6.2035","6.2024","6.2089","6.2014","0.01%"
"Jul 10, 2014","6.2028","6.1995","6.2028","6.1942","0.05%"
"Jul 09, 2014","6.1999","6.2025","6.2025","6.1940","-0.03%"
"Jul 08, 2014","6.2015","6.2020","6.2068","6.2012","-0.04%"
"Jul 07, 2014","6.2038","6.2035","6.2046","6.1973","-0.00%"
"Jul 04, 2014","6.2041","6.2133","6.2140","6.2022","-0.13%"
"Jul 03, 2014","6.2120","6.2105","6.2163","6.2096","0.02%"
"Jul 02, 2014","6.2106","6.2006","6.2139","6.2006","0.17%"
"Jul 01, 2014","6.2000","6.2035","6.2074","6.1968","-0.06%"
"Jun 30, 2014","6.2038","6.2181","6.2181","6.1988","-0.24%"
"Jun 27, 2014","6.2185","6.2253","6.2254","6.2156","-0.09%"
"Jun 26, 2014","6.2240","6.2348","6.2348","6.2238","-0.17%"
"Jun 25, 2014","6.2344","6.2309","6.2372","6.2303","0.05%"
"Jun 24, 2014","6.2311","6.2269","6.2318","6.2234","0.09%"
"Jun 23, 2014","6.2255","6.2259","6.2286","6.2225","0.02%"
"Jun 20, 2014","6.2245","6.2292","6.2310","6.2227","-0.07%"
"Jun 19, 2014","6.2291","6.2314","6.2345","6.2225","-0.04%"
"Jun 18, 2014","6.2314","6.2268","6.2349","6.2261","0.07%"
"Jun 17, 2014","6.2268","6.2254","6.2363","6.2241","-0.00%"
"Jun 16, 2014","6.2270","6.2125","6.2270","6.2103","0.28%"
"Jun 13, 2014","6.2095","6.2187","6.2187","6.2015","-0.14%"
"Jun 12, 2014","6.2185","6.2285","6.2303","6.2149","-0.15%"
"Jun 11, 2014","6.2281","6.2253","6.2321","6.2252","0.06%"
"Jun 10, 2014","6.2245","6.2405","6.2405","6.2222","-0.25%"
"Jun 09, 2014","6.2403","6.2385","6.2417","6.2371","-0.16%"
"Jun 06, 2014","6.2505","6.2455","6.2527","6.2446","-0.10%"
"Jun 05, 2014","6.2568","6.2520","6.2571","6.2506","0.10%"
"Jun 04, 2014","6.2504","6.2518","6.2575","6.2484","-0.07%"
"Jun 03, 2014","6.2546","6.2480","6.2551","6.2447","0.11%"
"Jun 02, 2014","6.2479","6.2479","6.2479","6.2479","0.00%"
"May 30, 2014","6.2479","6.2398","6.2488","6.2357","0.16%"
"May 29, 2014","6.2380","6.2557","6.2623","6.2380","-0.26%"
"May 28, 2014","6.2540","6.2582","6.2628","6.2533","0.08%"
"May 27, 2014","6.2491","6.2400","6.2499","6.2400","0.16%"
"May 26, 2014","6.2394","6.2365","6.2402","6.2346","0.05%"
"May 23, 2014","6.2365","6.2357","6.2393","6.2346","0.02%"
"May 22, 2014","6.2350","6.2340","6.2358","6.2317","0.02%"
"May 21, 2014","6.2338","6.2379","6.2394","6.2328","-0.07%"
"May 20, 2014","6.2381","6.2370","6.2398","6.2351","0.01%"
"May 19, 2014","6.2374","6.2335","6.2433","6.2326","0.06%"
"May 16, 2014","6.2334","6.2302","6.2361","6.2271","0.04%"
"May 15, 2014","6.2307","6.2282","6.2309","6.2248","0.03%"
"May 14, 2014","6.2289","6.2280","6.2332","6.2231","-0.00%"
"May 13, 2014","6.2291","6.2363","6.2415","6.2291","-0.14%"
"May 12, 2014","6.2376","6.2275","6.2376","6.2275","0.16%"
"May 09, 2014","6.2276","6.2282","6.2336","6.2244","-0.01%"
"May 08, 2014","6.2280","6.2350","6.2386","6.2247","-0.10%"
"May 07, 2014","6.2344","6.2264","6.2368","6.2182","0.14%"
"May 06, 2014","6.2257","6.2445","6.2445","6.2250","-0.32%"
"May 05, 2014","6.2455","6.2523","6.2551","6.2416","-0.22%"
"May 02, 2014","6.2593","6.2593","6.2593","6.2593","0.00%"
"May 01, 2014","6.2593","6.2593","6.2593","6.2593","0.00%"
"Apr 30, 2014","6.2593","6.2583","6.2671","6.2532","0.02%"
"Apr 29, 2014","6.2580","6.2529","6.2580","6.2513","0.08%"
"Apr 28, 2014","6.2530","6.2501","6.2541","6.2465","-0.01%"
"Apr 25, 2014","6.2537","6.2517","6.2569","6.2500","0.08%"
"Apr 24, 2014","6.2489","6.2386","6.2509","6.2367","0.18%"
"Apr 23, 2014","6.2377","6.2368","6.2467","6.2348","0.00%"
"Apr 22, 2014","6.2376","6.2308","6.2384","6.2277","0.16%"
"Apr 21, 2014","6.2274","6.2240","6.2355","6.2223","0.05%"
"Apr 18, 2014","6.2242","6.2195","6.2246","6.2188","0.08%"
"Apr 17, 2014","6.2190","6.2218","6.2218","6.2165","-0.04%"
"Apr 16, 2014","6.2214","6.2226","6.2267","6.2207","-0.01%"
"Apr 15, 2014","6.2220","6.2193","6.2258","6.2165","0.05%"
"Apr 14, 2014","6.2191","6.2101","6.2194","6.2089","0.13%"
"Apr 11, 2014","6.2113","6.2096","6.2142","6.2068","-0.02%"
"Apr 10, 2014","6.2126","6.2003","6.2126","6.1981","0.20%"
"Apr 09, 2014","6.2005","6.1862","6.2007","6.1853","0.06%"
"Apr 08, 2014","6.1968","6.2120","6.2120","6.1945","-0.25%"
"Apr 07, 2014","6.2123","6.2123","6.2123","6.2123","0.00%"
"Apr 04, 2014","6.2123","6.2108","6.2181","6.2108","0.03%"
"Apr 03, 2014","6.2107","6.2081","6.2118","6.2035","0.08%"
"Apr 02, 2014","6.2057","6.2060","6.2081","6.1967","-0.02%"
"Apr 01, 2014","6.2069","6.2169","6.2169","6.1988","-0.17%"
"Mar 31, 2014","6.2172","6.2131","6.2283","6.2125","0.08%"
"Mar 28, 2014","6.2122","6.2128","6.2158","6.2050","-0.01%"
"Mar 27, 2014","6.2128","6.2149","6.2164","6.2052","0.05%"
"Mar 26, 2014","6.2094","6.2010","6.2166","6.2010","0.12%"
"Mar 25, 2014","6.2017","6.1835","6.2017","6.1777","0.09%"
"Mar 24, 2014","6.1959","6.2155","6.2222","6.1955","-0.47%"
"Mar 21, 2014","6.2250","6.2270","6.2308","6.2193","-0.04%"
"Mar 20, 2014","6.2275","6.2102","6.2324","6.2102","0.52%"
"Mar 19, 2014","6.1954","6.1930","6.2054","6.1913","0.05%"
"Mar 18, 2014","6.1921","6.1900","6.1921","6.1791","0.22%"
"Mar 17, 2014","6.1782","6.1500","6.1783","6.1500","0.46%"
"Mar 14, 2014","6.1502","6.1358","6.1520","6.1358","0.23%"
"Mar 13, 2014","6.1362","6.1380","6.1406","6.1357","-0.14%"
"Mar 12, 2014","6.1450","6.1393","6.1470","6.1393","0.08%"
"Mar 11, 2014","6.1402","6.1359","6.1415","6.1316","0.03%"
"Mar 10, 2014","6.1386","6.1494","6.1553","6.1372","0.21%"
"Mar 07, 2014","6.1260","6.1002","6.1273","6.0998","0.12%"
"Mar 06, 2014","6.1185","6.1194","6.1200","6.1100","-0.16%"
