date,bitcoin,ethereum,litecoin,xrp
2016-03-30,1597.93675,45.204283,12.3830472,0.0288783749999999
2016-03-31,1588.079598,45.43531,12.37149585,0.02833546155
2016-04-01,1600.478047,43.664103,12.45620575,0.0281506399499999
2016-04-02,1600.401038,44.742229,12.3830472,0.0288783749999999
2016-04-03,1611.4518295,44.3956885,12.4908598,0.0291479065
2016-04-04,1613.569577,44.3956885,12.4985607,0.0287936651
2016-04-05,1614.6091984999998,42.817004,12.4523553,0.02849333
2016-04-06,1625.1594315,39.8521575,12.5139625,0.02811213545
2016-04-07,1622.040567,41.276824000000005,12.49471025,0.0281236868
2016-04-08,1617.728063,38.6200135,12.4061499,0.0262908725999999
2016-04-09,1608.2944605,37.426374,12.3445427,0.02518579345
2016-04-10,1609.6806225,35.2547202,12.3445427,0.0239574999
2016-04-11,1618.1516125,33.88396,12.37149585,0.023487745
2016-04-12,1622.6951435,33.329495200000004,12.398449,0.0239883035
2016-04-13,1635.440133,28.91302905,12.50241115,0.02308344775
2016-04-14,1630.5500615,30.8190018,12.475458,0.02288322435
2016-04-15,1632.6678089999998,32.3283782,12.45620575,0.02451581515
2016-04-16,1650.5724015,31.70845575,12.57942015,0.0251973448
2016-04-17,1655.8860225,33.017608749999994,12.60252285,0.02521659705
2016-04-18,1641.292817,36.1095201,12.5293643,0.02554773575
2016-04-19,1646.7989605,34.31906085,12.475458,0.02584036995
2016-04-20,1674.637714,33.34104655,12.6063733,0.0270994671
2016-04-21,1698.664522,32.9213475,12.5832706,0.0267644779499999
2016-04-22,1730.161203,31.03847745,12.83354985,0.028108285
2016-04-23,1714.5283759999998,30.02195865,12.721886799999998,0.02832776065
2016-04-24,1733.010536,32.1820611,12.8528021,0.02832776065
2016-04-25,1761.811902,30.6187784,13.75765785,0.02781950125
2016-04-26,1777.8682785,28.5010309,14.52004695,0.0280081733
2016-04-27,1794.3097,28.42017145,15.41335135,0.0266836185
2016-04-28,1721.1896545,29.794782100000003,15.25933335,0.0254668763
2016-04-29,1726.849816,27.88880935,14.52004695,0.02593278075
2016-04-30,1751.877741,28.93613175,14.56625235,0.0261907609
2016-05-01,1727.0423385,34.41917255,14.05799295,0.0259751357
2016-05-02,1741.327508,33.957118550000004,14.2389641,0.02534751235
2016-05-03,1710.292881,39.0820675,14.14270285,0.0257441087
2016-05-04,1733.7421215,35.69752195,14.35832805,0.02485465475
2016-05-05,1716.53061,36.0633147,14.37372985,0.0241115179
2016-05-06,1725.309636,37.86917575,14.2389641,0.0235493522
2016-05-07,1769.512802,35.56660665,14.55855145,0.0242655359
2016-05-08,1765.2773069999998,35.9246985,15.13611895,0.0244272548
2016-05-09,1763.0055415,36.5638732,15.06681085,0.0242693863499999
2016-05-10,1772.901198,35.93624985,15.521163949999998,0.02464288
2016-05-11,1730.238212,35.85153995,14.55855145,0.02423858275
2016-05-12,1742.328625,38.4197901,14.8781388,0.0234453900499999
2016-05-13,1749.7599935,39.0050585,14.7780271,0.02358400625
2016-05-14,1753.5334345,40.3912205,15.0475586,0.0227561595
2016-05-15,1757.499398,39.351599,15.440304499999998,0.02329137205
2016-05-16,1763.9296495,38.40053785,15.59817295,0.0234530909499999
2016-05-17,1751.4541915,42.508968,15.42105225,0.0234530909499999
2016-05-18,1745.2164625,47.206517,15.3863982,0.0230680459499999
2016-05-19,1748.951399,51.210985,15.4095009,0.0221939938
2016-05-20,1704.440197,56.755633,14.928194649999998,0.02381503325
2016-05-21,1702.3224495,52.8666785,14.91279285,0.02346849275
2016-05-22,1708.213638,53.9448045,15.19772615,0.0229101775
