"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 06, 2020","10,433.65","10,360.38","10,462.05","10,354.98","1.04B","2.21%"
"Jul 02, 2020","10,207.63","10,268.67","10,310.36","10,194.06","887.00M","0.52%"
"Jul 01, 2020","10,154.63","10,063.67","10,197.19","10,048.04","972.05M","0.95%"
"Jun 30, 2020","10,058.76","9,875.28","10,085.59","9,863.67","1.10B","1.87%"
"Jun 29, 2020","9,874.15","9,771.72","9,877.34","9,663.61","977.01M","1.20%"
"Jun 26, 2020","9,757.22","9,995.12","10,000.67","9,749.07","2.67B","-2.59%"
"Jun 25, 2020","10,017.00","9,899.36","10,023.28","9,810.47","1.06B","1.09%"
"Jun 24, 2020","9,909.17","10,092.92","10,137.50","9,842.22","1.26B","-2.19%"
"Jun 23, 2020","10,131.37","10,130.83","10,221.85","10,112.44","1.18B","0.74%"
"Jun 22, 2020","10,056.48","9,945.49","10,059.61","9,916.60","1.06B","1.11%"
"Jun 19, 2020","9,946.12","10,042.13","10,053.91","9,872.94","2.39B","0.03%"
"Jun 18, 2020","9,943.05","9,892.48","9,959.20","9,885.66","1.03B","0.33%"
"Jun 17, 2020","9,910.53","9,943.31","9,991.21","9,891.81","1.01B","0.15%"
"Jun 16, 2020","9,895.87","9,949.78","9,963.63","9,748.38","1.09B","1.75%"
"Jun 15, 2020","9,726.02","9,426.90","9,756.07","9,403.00","1.08B","1.43%"
"Jun 12, 2020","9,588.81","9,715.87","9,768.64","9,413.62","1.04B","1.01%"
"Jun 11, 2020","9,492.73","9,791.24","9,868.08","9,491.31","1.25B","-5.27%"
"Jun 10, 2020","10,020.35","10,012.32","10,086.89","9,962.58","1.11B","0.67%"
"Jun 09, 2020","9,953.75","9,867.19","10,002.50","9,863.27","1.12B","0.29%"
"Jun 08, 2020","9,924.75","9,823.44","9,927.12","9,780.61","1.34B","1.13%"
"Jun 05, 2020","9,814.08","9,703.54","9,845.69","9,685.35","1.44B","2.06%"
