"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 16, 2013","23.622","23.710","23.755","23.435","0.05K","1.14%"
"Apr 15, 2013","23.355","24.500","24.640","23.030","0.12K","-9.91%"
"Apr 14, 2013","25.923","25.913","26.023","25.783","-","-1.52%"
"Apr 12, 2013","26.322","27.285","27.285","26.085","0.15K","-4.92%"
"Apr 11, 2013","27.685","27.685","27.685","27.420","0.02K","0.17%"
"Apr 10, 2013","27.639","27.730","27.730","27.515","0.01K","-0.81%"
"Apr 09, 2013","27.866","27.360","27.935","27.240","0.05K","2.75%"
"Apr 08, 2013","27.120","27.235","27.235","27.080","0.03K","-0.48%"
"Apr 07, 2013","27.250","27.293","27.378","27.237","-","0.18%"
"Apr 05, 2013","27.201","26.860","27.240","26.845","0.03K","1.69%"
"Apr 04, 2013","26.748","26.910","26.960","26.705","0.19K","-0.09%"
"Apr 03, 2013","26.773","27.105","27.210","26.700","0.10K","-1.63%"
"Apr 02, 2013","27.217","27.900","27.920","27.170","0.01K","-2.49%"
"Apr 01, 2013","27.913","27.960","27.975","27.855","0.02K","-1.19%"
"Mar 31, 2013","28.248","28.263","28.345","28.158","-","-0.16%"
"Mar 28, 2013","28.292","28.720","28.720","28.295","0.01K","-1.00%"
"Mar 27, 2013","28.577","28.665","28.665","28.120","0.16K","-0.23%"
"Mar 26, 2013","28.644","28.785","28.785","28.575","0.06K","-0.49%"
"Mar 25, 2013","28.785","28.460","28.785","28.460","0.06K","0.49%"
"Mar 24, 2013","28.645","28.693","28.743","28.593","-","-0.07%"
"Mar 22, 2013","28.666","29.105","29.105","28.595","0.14K","-1.76%"
"Mar 21, 2013","29.179","28.940","29.190","28.940","0.14K","1.38%"
"Mar 20, 2013","28.783","28.880","28.880","28.425","0.02K","-0.09%"
"Mar 19, 2013","28.810","28.840","29.050","28.685","0.25K","-0.11%"
"Mar 18, 2013","28.841","28.815","29.050","28.685","0.10K","-0.55%"
"Mar 17, 2013","29.000","28.795","29.108","28.795","-","0.64%"
"Mar 15, 2013","28.817","28.885","28.890","28.750","0.06K","0.16%"
"Mar 14, 2013","28.772","28.800","28.800","28.570","0.03K","-0.52%"
"Mar 13, 2013","28.922","29.030","29.215","28.830","0.07K","-0.72%"
"Mar 12, 2013","29.131","28.940","29.290","28.840","0.06K","1.11%"
"Mar 11, 2013","28.812","28.860","28.960","28.720","0.12K","-0.44%"
"Mar 10, 2013","28.938","28.990","29.010","28.908","-","0.10%"
"Mar 08, 2013","28.909","28.850","29.190","28.350","0.33K","0.49%"
"Mar 07, 2013","28.767","28.955","29.040","28.735","0.05K","0.02%"
"Mar 06, 2013","28.760","28.675","28.995","28.580","0.21K","0.69%"
"Mar 05, 2013","28.563","28.580","28.995","28.580","0.31K","0.37%"
"Mar 04, 2013","28.457","28.635","28.700","28.460","0.08K","-0.72%"
"Mar 03, 2013","28.663","28.675","28.728","28.642","-","0.75%"
"Mar 01, 2013","28.451","28.485","28.745","27.955","0.95K","0.20%"
"Feb 28, 2013","28.395","28.955","29.140","28.390","1.52K","-1.89%"
"Feb 27, 2013","28.943","29.360","29.390","28.830","25.17K","-1.07%"
"Feb 26, 2013","29.256","29.256","29.256","29.256","-","0.94%"
"Feb 25, 2013","28.983","28.975","28.990","28.965","0.01K","0.88%"
"Feb 24, 2013","28.730","28.805","28.815","28.723","-","0.96%"
"Feb 22, 2013","28.456","28.420","28.455","28.420","0.00K","-0.83%"
"Feb 21, 2013","28.695","28.445","28.445","28.445","0.00K","0.28%"
"Feb 20, 2013","28.615","28.740","28.740","28.315","0.01K","-2.71%"
"Feb 19, 2013","29.413","30.040","30.045","29.450","0.06K","-2.10%"
"Feb 18, 2013","30.043","29.860","30.145","29.845","-","0.60%"
"Feb 17, 2013","29.865","29.805","29.870","29.778","-","0.09%"
"Feb 15, 2013","29.839","30.250","30.250","29.770","0.07K","-1.66%"
"Feb 14, 2013","30.343","30.985","31.040","30.950","0.07K","-1.66%"
"Feb 13, 2013","30.854","30.890","30.925","30.890","0.06K","-0.48%"
"Feb 12, 2013","31.004","30.820","31.080","30.800","0.05K","0.35%"
"Feb 11, 2013","30.895","31.160","31.175","30.955","0.02K","-1.72%"
"Feb 10, 2013","31.435","31.450","31.462","31.418","-","0.03%"
"Feb 08, 2013","31.425","31.450","31.600","31.400","0.05K","0.12%"
"Feb 07, 2013","31.387","31.485","31.760","31.345","0.03K","-1.49%"
"Feb 06, 2013","31.861","31.861","31.861","31.861","-","0.01%"
"Feb 05, 2013","31.859","32.020","32.020","31.670","0.00K","0.50%"
"Feb 04, 2013","31.700","31.705","31.705","31.690","0.00K","-0.43%"
"Feb 03, 2013","31.837","31.868","31.883","31.783","-","-0.33%"
"Feb 01, 2013","31.942","31.600","31.600","31.600","0.00K","1.94%"
"Jan 31, 2013","31.335","31.865","31.865","31.300","0.00K","-2.54%"
"Jan 30, 2013","32.152","31.500","32.260","31.500","0.06K","3.19%"
"Jan 29, 2013","31.159","31.065","31.065","31.065","0.01K","1.31%"
"Jan 28, 2013","30.756","31.000","31.000","30.900","0.00K","-1.57%"
"Jan 27, 2013","31.248","31.180","31.258","31.180","-","0.22%"
"Jan 25, 2013","31.180","31.180","31.180","31.650","-","-1.62%"
"Jan 24, 2013","31.695","31.735","31.750","31.735","0.00K","-2.20%"
"Jan 23, 2013","32.409","32.135","32.315","32.135","0.00K","0.82%"
"Jan 22, 2013","32.147","31.835","32.250","31.835","0.01K","0.42%"
"Jan 21, 2013","32.013","31.993","32.112","31.870","-","0.05%"
"Jan 20, 2013","31.998","31.862","32.008","31.862","-","0.30%"
"Jan 18, 2013","31.902","32.060","32.060","31.765","0.05K","0.36%"
"Jan 17, 2013","31.786","31.305","31.770","31.165","0.03K","0.86%"
"Jan 16, 2013","31.514","31.375","31.380","31.255","0.01K","0.05%"
"Jan 15, 2013","31.498","30.950","31.400","30.950","0.02K","1.34%"
"Jan 14, 2013","31.080","30.620","31.045","30.620","0.03K","2.19%"
"Jan 13, 2013","30.413","30.445","30.473","30.388","-","0.15%"
"Jan 11, 2013","30.367","30.780","30.780","30.150","0.06K","-1.65%"
"Jan 10, 2013","30.875","30.760","30.825","30.665","0.05K","2.23%"
"Jan 09, 2013","30.201","30.095","30.270","30.095","0.07K","-0.70%"
"Jan 08, 2013","30.415","30.255","30.390","30.125","0.06K","1.28%"
"Jan 07, 2013","30.032","30.395","30.395","29.910","0.09K","-0.55%"
"Jan 06, 2013","30.197","30.267","30.267","30.165","-","1.01%"
"Jan 04, 2013","29.896","29.435","30.210","29.210","0.13K","-2.53%"
"Jan 03, 2013","30.671","30.775","31.000","30.455","0.02K","-0.91%"
"Jan 02, 2013","30.952","30.630","31.335","30.585","0.01K","2.33%"
"Jan 01, 2013","30.248","30.353","30.388","30.228","-","0.25%"
"Dec 31, 2012","30.173","30.090","30.375","30.090","0.01K","0.24%"
"Dec 30, 2012","30.100","30.078","30.113","30.070","-","0.60%"
"Dec 28, 2012","29.920","30.200","30.200","29.930","0.20K","-0.87%"
"Dec 27, 2012","30.184","29.950","29.985","29.950","0.06K","0.67%"
"Dec 26, 2012","29.983","30.180","30.205","30.180","0.04K","0.14%"
"Dec 25, 2012","29.940","29.960","30.050","29.940","-","0.34%"
"Dec 24, 2012","29.839","30.085","30.085","29.925","0.01K","-0.96%"
"Dec 23, 2012","30.127","30.025","30.163","30.015","-","-0.05%"
"Dec 21, 2012","30.142","29.950","30.160","29.620","0.25K","1.79%"
"Dec 20, 2012","29.612","31.010","31.200","29.625","0.65K","-4.62%"
