"date","open","high","low","value","volume","date_fmt","interval"
"2020-06-06","0.78010117","0.7881871149999999","0.77471054","0.784336665","54571501.200702995","2020-06-06","histoday"
"2020-06-07","0.784336665","0.788957205","0.7670096399999999","0.782796485","67082197.9415355","2020-06-07","histoday"
"2020-06-08","0.782796485","0.78703198","0.770475045","0.7862618899999999","75371851.730371","2020-06-08","histoday"
"2020-06-09","0.7862618899999999","0.79011234","0.715028565","0.77548063","102975219.94452049","2020-06-09","histoday"
"2020-06-10","0.77548063","0.7851067549999999","0.7716301799999999","0.781256305","87369664.0646815","2020-06-10","histoday"
"2020-06-11","0.781256305","0.784336665","0.710408025","0.7238846","139873551.58699697","2020-06-11","histoday"
"2020-06-12","0.7238846","0.75083775","0.718879015","0.743521895","97878224.45292601","2020-06-12","histoday"
"2020-06-13","0.743521895","0.74621721","0.73466586","0.7408265799999999","50038573.723931","2020-06-13","histoday"
"2020-06-14","0.7408265799999999","0.741211625","0.726579915","0.7319705449999999","47933114.165016","2020-06-14","histoday"
"2020-06-15","0.7319705449999999","0.74544712","0.70155199","0.741211625","116207345.545352","2020-06-15","histoday"
"2020-06-16","0.741211625","0.7473723449999999","0.7315855","0.7408265799999999","83612921.734746","2020-06-16","histoday"
"2020-06-17","0.7408265799999999","0.7639292799999999","0.72542478","0.743521895","128086739.638687","2020-06-17","histoday"
"2020-06-18","0.743521895","0.743521895","0.7242696449999999","0.730430365","90220072.456862","2020-06-18","histoday"
"2020-06-19","0.730430365","0.7315855","0.71772388","0.720419195","94539905.788437","2020-06-19","histoday"
"2020-06-20","0.720419195","0.72696496","0.71156316","0.7234995550000001","53817197.0830905","2020-06-20","histoday"
"2020-06-21","0.7234995550000001","0.72542478","0.71464352","0.7154136099999999","42806633.814042","2020-06-21","histoday"
"2020-06-22","0.7154136099999999","0.733510725","0.71464352","0.729660275","86602841.2485155","2020-06-22","histoday"
"2020-06-23","0.729660275","0.733510725","0.725039735","0.72696496","70388619.747756","2020-06-23","histoday"
"2020-06-24","0.72696496","0.7319705449999999","0.6988566749999999","0.70617253","104238162.808467","2020-06-24","histoday"
"2020-06-25","0.70617253","0.708097755","0.687305325","0.69847163","91704638.7518185","2020-06-25","histoday"
"2020-06-26","0.69847163","0.718879015","0.6865352349999999","0.70232208","110991611.8018825","2020-06-26","histoday"
"2020-06-27","0.70232208","0.705787485","0.65534659","0.674213795","90256953.2606015","2020-06-27","histoday"
"2020-06-28","0.674213795","0.6923109099999999","0.667282985","0.681144605","67118585.579639","2020-06-28","histoday"
"2020-06-29","0.681144605","0.6900006399999999","0.67382875","0.6826847850000001","84405497.40013349","2020-06-29","histoday"
"2020-06-30","0.6826847850000001","0.68461001","0.67305866","0.6745988399999999","82695858.7105885","2020-06-30","histoday"
"2020-07-01","0.6745988399999999","0.6865352349999999","0.6688231649999999","0.679604425","81278940.7021505","2020-07-01","histoday"
"2020-07-02","0.679604425","0.6826847850000001","0.663432535","0.673443705","96845258.8793005","2020-07-02","histoday"
"2020-07-03","0.673443705","0.68769037","0.671903525","0.67921938","82889745.4250235","2020-07-03","histoday"
"2020-07-04","0.67921938","0.691925865","0.6780642450000001","0.685765145","55902040.986164995","2020-07-04","histoday"
"2020-07-05","0.685765145","0.6884604599999999","0.67074839","0.6822997399999999","55862634.21021649","2020-07-05","histoday"
"2020-07-06","0.6822997399999999","0.72850514","0.67998947","0.727350005","138669222.9682655","2020-07-06","histoday"
"2020-07-07","0.727350005","0.73004532","0.70540244","0.71310334","103505364.9172755","2020-07-07","histoday"
"2020-07-08","0.71310334","0.79627306","0.7084828","0.79165252","294622345.54999053","2020-07-08","histoday"
"2020-07-09","0.79165252","0.814370175","0.758923695","0.78010117","272653546.742907","2020-07-09","histoday"
"2020-07-10","0.78010117","0.7804862149999999","0.74313685","0.765854505","146187791.10774","2020-07-10","histoday"
"2020-07-11","0.765854505","0.7881871149999999","0.762774145","0.77471054","108355882.8236685","2020-07-11","histoday"
"2020-07-12","0.77471054","0.7851067549999999","0.7623891","0.77471054","82942150.858118","2020-07-12","histoday"
"2020-07-13","0.77471054","0.79473288","0.74313685","0.76469937","158858683.08700302","2020-07-13","histoday"
"2020-07-14","0.76469937","0.76931991","0.751222795","0.76623955","97919644.590675","2020-07-14","histoday"
"2020-07-15","0.76623955","0.76931991","0.7562283799999999","0.758923695","86509732.59295751","2020-07-15","histoday"
"2020-07-16","0.758923695","0.76007883","0.727350005","0.748142435","112685522.9433575","2020-07-16","histoday"
"2020-07-17","0.748142435","0.76161901","0.7365910849999999","0.748912525","91106888.771603","2020-07-17","histoday"
"2020-07-18","0.748912525","0.778175945","0.746602255","0.76931991","95786509.8068715","2020-07-18","histoday"
"2020-07-19","0.76931991","0.7777909000000001","0.7546882","0.7685498199999999","79663425.762297","2020-07-19","histoday"
"2020-07-20","0.7685498199999999","0.77086009","0.740441535","0.75006766","96249207.0630485","2020-07-20","histoday"
"2020-07-21","0.75006766","0.77394045","0.7473723449999999","0.7685498199999999","105248561.2796875","2020-07-21","histoday"
"2020-07-22","0.7685498199999999","0.7885721600000001","0.755843335","0.7851067549999999","100998502.91517499","2020-07-22","histoday"
"2020-07-23","0.7851067549999999","0.809749635","0.7774058549999999","0.80320387","177628047.459422","2020-07-23","histoday"
"2020-07-24","0.80320387","0.803588915","0.7785609899999999","0.786646935","114639448.851117","2020-07-24","histoday"
"2020-07-25","0.786646935","0.83862801","0.7854918","0.827461705","143972567.54076502","2020-07-25","histoday"
"2020-07-26","0.827461705","0.867506385","0.820530895","0.82938693","207960570.62292802","2020-07-26","histoday"
"2020-07-27","0.82938693","0.8836782750000001","0.8085945","0.86481107","288931571.9713735","2020-07-27","histoday"
"2020-07-28","0.86481107","0.9044707049999999","0.8378579199999999","0.88868386","309022542.16114646","2020-07-28","histoday"
"2020-07-29","0.88868386","0.9633825899999999","0.8844483649999999","0.9375845749999999","377645328.94346297","2020-07-29","histoday"
"2020-07-30","0.9375845749999999","0.961457365","0.9133267399999999","0.941435025","265141934.2873395","2020-07-30","histoday"
"2020-07-31","0.941435025","1.003812315","0.932193945","1.000731955","251899738.33509147","2020-07-31","histoday"
"2020-08-01","1.000731955","1.1474341","0.9861002449999999","1.121636085","598062805.7902551","2020-08-01","histoday"
"2020-08-02","1.121636085","1.2560167899999999","0.9995768199999999","1.10815951","789153948.594317","2020-08-02","histoday"
"2020-08-03","1.10815951","1.2313739099999998","1.0950679799999998","1.194794635","537978512.7870685","2020-08-03","histoday"
"2020-08-04","1.194794635","1.2286785949999999","1.124716445","1.160910675","373643134.44166553","2020-08-04","histoday"
"2020-08-05","1.160910675","1.1870937350000001","1.12048095","1.1655312150000001","293056121.837776","2020-08-05","histoday"
"2020-08-06","1.1655312150000001","1.1982600399999999","1.146278965","1.167841485","255063609.12795252","2020-08-06","histoday"
"2020-08-07","1.167841485","1.1944095899999998","1.08813717","1.134727615","297935571.486406","2020-08-07","histoday"
"2020-08-08","1.134727615","1.150899505","1.117785635","1.137037885","169544477.8405315","2020-08-08","histoday"
"2020-08-09","1.137037885","1.1497443699999998","1.087752125","1.1089296","194143696.43284652","2020-08-09","histoday"
"2020-08-10","1.1089296","1.157060225","1.1089296","1.134727615","242866036.41025448","2020-08-10","histoday"
"2020-08-11","1.134727615","1.18362833","1.042316815","1.0896773499999999","360228819.6779855","2020-08-11","histoday"
"2020-08-12","1.0896773499999999","1.10661933","1.048477535","1.08736708","233357560.562347","2020-08-12","histoday"
"2020-08-13","1.08736708","1.139348155","1.049247625","1.135497705","298227086.591618","2020-08-13","histoday"
"2020-08-14","1.135497705","1.18439842","1.117785635","1.15667518","361081933.9279845","2020-08-14","histoday"
"2020-08-15","1.15667518","1.17592743","1.124716445","1.15205464","252495174.6184065","2020-08-15","histoday"
"2020-08-16","1.15205464","1.173232115","1.1258715799999999","1.17284707","221882916.68594998","2020-08-16","histoday"
"2020-08-17","1.17284707","1.26063733","1.14512383","1.2155870649999998","494715046.221731","2020-08-17","histoday"
"2020-08-18","1.2155870649999998","1.23907481","1.1532097749999999","1.1655312150000001","321177061.264692","2020-08-18","histoday"
